date,symbol,open,high,low,close,volume,Day,Month,DayOfWeek
2017-12-29,NWSA,-0.8687,-0.8716,-0.8669,-0.8710,-0.2240,29,12,4
2017-12-29,NWS,-0.8622,-0.8645,-0.8607,-0.8639,-0.5222,29,12,4
2017-12-29,OKE,-0.1957,-0.1995,-0.1919,-0.1990,0.1328,29,12,4
2017-12-29,OMC,0.1616,0.1578,0.1628,0.1507,-0.2123,29,12,4
2017-12-29,ORCL,-0.3057,-0.3072,-0.3019,-0.3104,2.3797,29,12,4
2017-12-29,ORLY,3.1934,3.1802,3.2079,3.1768,-0.3939,29,12,4
2017-12-29,OXY,0.1719,0.1619,0.1773,0.1656,0.3363,29,12,4
2017-12-29,O,-0.1359,-0.1407,-0.1308,-0.1346,-0.2014,29,12,4
2017-12-29,PAYX,0.0621,0.0614,0.0731,0.0650,-0.2767,29,12,4
2017-12-29,PBCT,-0.8216,-0.8245,-0.8216,-0.8261,-0.0925,29,12,4
2017-12-29,PCAR,0.1244,0.1192,0.1306,0.1191,-0.3841,29,12,4
2017-12-29,PCG,-0.3540,-0.3588,-0.3506,-0.3546,0.6389,29,12,4
2017-12-29,PDCO,-0.5064,-0.5061,-0.5048,-0.5115,-0.4283,29,12,4
2017-12-29,PEG,-0.2369,-0.2391,-0.2299,-0.2342,0.0661,29,12,4
2017-12-29,PEP,0.9930,0.9953,1.0100,1.0004,0.3160,29,12,4
2017-12-29,PFE,-0.5097,-0.5113,-0.5030,-0.5099,2.8997,29,12,4
2017-12-29,PFG,0.1267,0.1180,0.1209,0.1097,-0.4351,29,12,4
2017-12-29,PGR,-0.1433,-0.1502,-0.1375,-0.1472,-0.2257,29,12,4
2017-12-29,PG,0.5015,0.4916,0.5092,0.4944,0.6987,29,12,4
2017-12-29,PHM,-0.5519,-0.5562,-0.5572,-0.5635,0.1328,29,12,4
2017-12-29,PH,2.4548,2.4332,2.4584,2.4377,-0.4496,29,12,4
2017-12-29,PKG,1.0244,1.0098,1.0262,1.0117,-0.5152,29,12,4
2017-12-29,PKI,0.1668,0.1554,0.1677,0.1559,-0.5499,29,12,4
2017-12-29,PLD,0.0078,-0.0015,0.0095,0.0005,-0.1739,29,12,4
2017-12-29,PM,0.7333,0.7435,0.7478,0.7429,0.6682,29,12,4
2017-12-29,PNC,1.4743,1.4545,1.4623,1.4401,-0.3027,29,12,4
2017-12-29,PNR,0.1062,0.1062,0.1123,0.1108,-0.4478,29,12,4
2017-12-29,PNW,0.3768,0.3669,0.3819,0.3735,-0.4940,29,12,4
2017-12-29,PPG,0.9547,0.9435,0.9627,0.9444,-0.3836,29,12,4
2017-12-29,PPL,-0.6057,-0.6089,-0.6019,-0.6050,0.4101,29,12,4
2017-12-29,PRGO,0.4172,0.4079,0.4212,0.4092,-0.5159,29,12,4
2017-12-29,PRU,0.9236,0.9091,0.9285,0.9112,-0.2966,29,12,4
2017-12-29,PSA,2.6227,2.6075,2.6323,2.6077,-0.4606,29,12,4
2017-12-29,PSX,0.6823,0.6677,0.6778,0.6617,-0.2591,29,12,4
2017-12-29,PVH,1.3239,1.3201,1.3313,1.3123,-0.4579,29,12,4
2017-12-29,PWR,-0.4495,-0.4547,-0.4506,-0.4578,-0.4871,29,12,4
2017-12-29,PXD,1.9679,1.9546,1.9621,1.9554,-0.1598,29,12,4
2017-12-29,PX,1.6373,1.6256,1.6418,1.6276,-0.0549,29,12,4
2017-12-29,PYPL,0.1708,0.1703,0.1764,0.1649,0.7454,29,12,4
2017-12-29,QCOM,-0.0018,-0.0067,0.0022,-0.0083,1.4097,29,12,4
2017-12-29,QRVO,0.0524,0.0456,0.0491,0.0383,-0.4311,29,12,4
2017-12-29,RCL,1.0231,1.0114,1.0062,0.9888,-0.3658,29,12,4
2017-12-29,REGN,5.7305,5.6912,5.6578,5.6204,-0.4593,29,12,4
2017-12-29,REG,0.0894,0.0827,0.0958,0.0848,-0.4460,29,12,4
2017-12-29,RE,2.8567,2.8264,2.8578,2.8289,-0.5588,29,12,4
2017-12-29,RF,-0.8487,-0.8522,-0.8475,-0.8517,1.2880,29,12,4
2017-12-29,RHI,-0.1488,-0.1554,-0.1520,-0.1613,-0.4896,29,12,4
2017-12-29,RHT,1.0182,1.0065,1.0218,1.0036,-0.2601,29,12,4
2017-12-29,RJF,0.4633,0.4518,0.4621,0.4479,-0.4964,29,12,4
